번호	상호	영업표지	대표자	등록번호	최초등록일	업종
5615	(주)태강에프앤씨	소담비빔국수	김학수	20100100572	2010.11.26	기타 외식
5614	(주)엠디에스코리아	쉐프엠	문동준	20170203	2017.02.06	기타도소매
5613	(주)신밥도둑	붓다카레	주다빈	20231859	2023.12.19	한식
5612	(주)신밥도둑	제육감	주다빈	20231858	2023.12.19	한식
5611	(주)신밥도둑	신밥도둑	주다빈	20211333	2021.06.07	한식
5610	(주)프랜조이	아리아(ARIA)센터	이승환	20160360	2016.04.22	스포츠 관련
5609	(주)비브라더스	감성커피	이재영	20180070	2018.01.26	커피
5608	(주)비브라더스	존슨켄터키	이재영	20140971	2014.10.10	치킨
5607	(주)열린사람들	콩순이키즈카페	최시정	20190334	2019.04.10	유아 관련 (교육 외)
5606	(주)열린사람들	시크릿쥬쥬&또봇 프리미엄키즈카페	최시정	20180048	2018.01.22	유아 관련 (교육 외)
5605	명장푸드	명장진국설렁탕	김향규	20212468	2021.10.07	한식
5604	(주)안스푸드	버거운버거(BURGER UN BURGER)	안원석	20211461	2021.06.29	패스트푸드
5603	(주)밀립	밀립	이성태	20201902	2020.12.24	아이스크림/빙수
5602	피자야	피자야	곽은주	20191029	2019.10.08	피자
5601	(주)유니어스에프엔씨	엔젤스 코인노래연습장	박철우	20170650	2017.06.01	기타 서비스
5600	(주)파파들	꼬끼오 분식	이윤성, 이원일, 정인성, 이국진	20210033	2021.01.08	분식
5599	(주)진가원푸드	진가원 전주콩나물국밥,묵사발	진광범	20170330	2017.03.03	기타 외식
5598	㈜레호보트	커피에 빠진 호두도둑	김영안	20240526	2024.04.08	제과제빵
5597	(주)후니에프앤비	홍대개미	임준성, 김형일	20160621	2016.04.22	기타 외식
5596	한티재	한티재	권진성, 윤영희	20181129	2018.11.05	한식
5595	(주)장충당	장충당	조창호	20100100622	2010.12.22	기타 외식
5594	풀먹는호랑이	풀먹는호랑이	김창석	20230717	2023.05.19	패스트푸드
5593	(주)떡파는사람들	떡보의하루	성우진	20080600029	2008.09.25	기타도소매
5592	(주)아마릴리스	스위트1225	김종경	20230175	2023.02.02	커피
5591	(주)와이에이치컴퍼니	고기극찬	유해선	20201014	2020.08.12	한식
5590	(주)원호코리아	짱어랑 프레시	배상욱	20212805	2021.10.18	기타 외식
5589	더국민푸드	오늘은전골	차동현	20230572	2023.04.19	한식
5588	(주)사게네	사게네초밥	이준	20214113	2021.11.04	일식
5587	투맨피자	투맨피자 (Two Man Pizza)	조찬수, 백성현	20241061	2024.08.01	피자
5586	?라샐러드	?라샐러드	전향진	20241053	2024.08.01	기타 외식
5585	육식본부	육식본부	김상남	20241059	2024.08.01	한식
5584	(주)승명	아양돈	최우성	20241060	2024.08.01	한식
5583	(주)청돈고기나라	육국	이지형	20241058	2024.08.01	한식
5582	(주)팀아울 파친코(PACHINKO)	파친코(PACHINKO)	김종원	20241069	2024.08.01	일식
5581	이오에프씨(주)	25센치	이성욱	20190292	2019.04.05	일식
5580	에스엘(SLFOOD)	치킨이즈백	손승우	20231034	2023.07.14	치킨
5579	(주)네오푸드	올데이자카야	김영길	20214392	2021.11.09	일식
5578	(주)네오푸드	사이공올데이	김영길	20214058	2021.11.04	기타 외국식
5577	(주)에스엠제이컴퍼니	청파불백	조윤희	20201277	2020.09.25	한식
5576	(주)에스엠제이컴퍼니	101번지 남산돈까스	조윤희	20151284	2015.12.31	기타 외식
5575	(주)에스엠제이컴퍼니	코펜하겐돈까스	조윤희	20215094	2021.11.16	서양식
5574	(주)에스엠제이컴퍼니	네모난돈까스	조윤희	20215093	2021.11.16	서양식
5573	(주)에스엠제이컴퍼니	가가솥밥	조윤희	20215091	2021.11.16	한식
5572	비컨홀딩스(주)	청	정보람	20161297	2016.12.28	중식
5571	(주)아시아푸드리퍼블릭	두꺼비식당	문대성	20190803	2019.08.07	한식
5570	비컨홀딩스(주)	토마틸로	정보람	20160044	2016.01.15	기타 외국식
5569	(주)모센즈스위트	모센즈스위트	최지우	20220764	2022.08.01	기타 외식
5568	(주)알볼로에프앤씨	목동버거	이재욱	20181336	2018.12.19	패스트푸드
5567	(주)엠지에이치	삼겹파티	송준욱	20110300014	2011.01.21	한식
5566	(주)골드앤에스	토킹클럽	신승호	20120100319	2012.07.20	교육 (외국어)
5565	(주)디와이비최선메이트	디와이비랜퍼스	김성민	20212520	2021.10.07	교육 (외국어)
5564	블랙헤드코피다	블랙헤드 코피다	이은미	20231906	2023.12.28	이미용
5563	(주)아이꿈터	아이꿈터	변현숙,백운일	20100100038	2010.01.18	기타도소매
5562	(주)카페홈즈	카페홈즈(Cafe Homes)	안지혜	20213885	2021.11.02	커피
5561	(주)퍼플독	퍼플독	박재정	20220620	2022.06.30	기타도소매
5560	(주)마스터에프엔비	송사부고로케	강지훈, 허윤재	20171425	2017.12.04	제과제빵
5559	(주)만만연구소	만만코코로	송호영	20151239	2015.12.18	주점
5558	(주)쉐프군단	딜리버리엄지	원종민	20220716	2022.07.26	기타 외식
5557	(주)가람에프앤비	내가 대한의 고기다	김덕호	20211586	2021.07.15	한식
5556	(주)정에프앤비	밤하늘포차 연어육회	박정민	20201059	2020.08.20	주점
5555	신유푸드그룹(주)	송돝	신성원	20221280	2022.11.25	한식
5554	계단FNB	계단라멘	김현우,김정우	20220344	2022.04.26	일식
5553	(주)태성에프앤비	짚불태백	강성호	20230864	2023.06.16	한식
5552	㈜알로하앤코(Aloha&co.)	알로하포케	김지후	20160754	2016.08.03	기타 외국식
5551	(주)스토리에듀	ERC영어독서클럽	임기병	20160611	2016.04.22	교육 (외국어)
5550	일편등심	일편등심	송주연	20215638	2021.11.18	한식
5549	유한회사코스모스비젼케어	코스모스안경	김인철	20215738	2021.11.18	기타도소매
5548	(주)진심청년	진타코 진심타코야끼	최원우	20214922	2021.11.15	일식
5547	(주)거북이홀딩스	쭈꾸미도사	이민호	20190078	2019.01.24	한식
5546	로이드페스츄리(ROIdePASTRY)	로이드페스츄리(ROI de PASTRY)	박준희	20241055	2024.07.31	제과제빵
5545	(주)오엠푸드	오븐마루	박성우	20130505	2013.12.27	치킨
5544	(주)르하임아나덴	아나덴헬스푸드	김봉우	20213733	2021.11.02	기타도소매
5543	(주)르하임아나덴	아나덴헤어닥터	김봉우	20214079	2021.11.04	이미용
5542	딤타오	딤타오	고명자	20241050	2024.07.31	중식
5541	(주)엘에이치케이컴퍼니	뚱보집부산양대창	권재혁	20200908	2020.07.22	기타 외식
5540	(주)엘에이치케이컴퍼니	뚱보집	권재혁	20190005	2019.01.04	기타 외식
5539	(주)엘에이치케이컴퍼니	대지집	권재혁	20212881	2021.10.20	한식
5538	오엠푸드	오떡	박성우	20130258	2013.09.27	분식
5537	비컨홀딩스(주)	청화당	정보람	20170066	2017.01.11	중식
5536	라라에프앤비	YOGURT ON YOU(요거트온유)	방미라	20213315	2021.10.26	아이스크림/빙수
5535	(주)제이진옴므	제이진옴므	이정환	20110100227	2011.06.19	의류 / 패션
5534	(주)초록불	양복점	송요섭	20231447	2023.10.05	기타 외식
5533	(주)트루팜	그랩피자	박성수	20212702	2021.10.14	피자
5532	(주)트루팜	제갈국밥	박성수	20212697	2021.10.14	한식
5531	(주)트루팜	천하제일마라홍	박성수	20212686	2021.10.14	중식
5530	(주)트루팜	올바른파스타	박성수	20212687	2021.10.14	서양식
5529	(주)트루팜	니떡내떡	박성수	20212689	2021.10.14	분식
5528	(주)트루팜	은쟁반	박성수	20212690	2021.10.14	주점
5527	(주)트루팜	국본	박성수	20212693	2021.10.14	한식
5526	(주)트루팜	오나나	박성수	20212700	2021.10.14	기타 외식
5525	(주)트루팜	가로등골목맥주	박성수	20212699	2021.10.14	주점
5524	(주)트루팜	감탄우동	박성수	20212696	2021.10.14	일식
5523	(주)트루팜	미태리	박성수	20181061	2018.10.17	서양식
5522	(주)커피나인컴퍼니	커피나인	김진구	20220232	2022.03.22	커피
5521	㈜제이피에프씨파트너스	신머이	장희숙	20201433	2020.11.02	기타 외국식
5520	(주)이드림브릿지	양마니찌개마을	양춘현	20211241	2021.05.25	한식
5519	(주)경성키친	스시로야	최보선	20214410	2021.11.08	일식
5518	다우리	카카츠	권종수	20213100	2021.10.22	일식
5517	(주)현풍	수내닭꼬치	곽정민	20161160	2016.11.09	기타 외식
5516	(주)홍대돈부리	홍대돈부리	안지은	20120100090	2012.03.06	일식
5515	(주)경성키친	경성반점	최보선	20214395	2021.11.08	중식
5514	(주)경성키친	고스테이크	최보선	20214409	2021.11.08	서양식
5513	(주)경성키친	금두꺼비펍	최보선	20214386	2021.11.08	주점
